ActualPower;Max Capacity;Location 1;Location 2;Location 3;Location 4
9.848;43.5;7.1;8.342;6.366;8.301
8.279;45;6.8;8.231;6.317;8.23
7.33;45;7.4;8.145;6.278;8.185
7.644;45;7.8;8.085;6.243;8.158
6.751;45;8.1;8.055;6.218;8.154
6.959;45;8.1;8.048;6.203;8.169
7.584;45;7.8;8.071;6.194;8.199
7.079;43.75;7.1;8.115;6.184;8.246
6.28;43.75;7.8;8.195;6.18;8.324
5.975;43.75;7.6;8.32;6.153;8.441
6.315;43.75;6.8;8.478;6.056;8.609
7.303;43.75;6.6;8.685;5.636;8.901
8.243;43.75;6;8.708;5.583;8.976
7.867;43.75;5.7;8.654;5.615;8.969
8.886;43.75;5.2;8.595;5.645;8.943
11.115;43.75;6.6;8.535;5.671;8.926
14.338;43.75;7.5;8.481;5.69;8.92
15.686;43.75;6.7;8.424;5.7;8.913
18.326;43.75;7.2;8.336;5.698;8.858
15.073;;6.1;8.233;5.691;8.775
18.852;43.75;6.6;8.128;5.666;8.682
22.149;43.75;6.8;8.016;5.612;8.571
20.881;43.75;5.8;7.909;5.539;8.454
26.11;43.75;4.9;7.802;5.455;8.336
28.896;43.75;4.8;7.707;5.377;8.232
31.167;43.75;5.5;7.642;5.328;8.166
33.438;43.75;5.5;7.607;5.308;8.138
33.849;43.75;4.7;7.597;5.318;8.136
32.56;43.75;5;7.601;5.353;8.145
32.165;43.75;4.7;7.604;5.401;8.146
33.092;43.75;5.8;7.601;5.463;
34.977;43.75;6.5;7.586;5.532;8.126
35.773;43.75;7.1;7.582;5.612;8.123
36.477;43.75;7.5;7.59;5.701;8.138
37.219;43.75;7.6;7.627;5.8;8.186
36.844;43.75;9.9;7.678;5.899;8.258
36.886;43.75;9.5;7.741;6.001;8.341
36.481;43.75;9;7.86;6.124;8.468
36.416;43.75;9.7;8.004;6.254;8.606
35.98;;8.8;8.142;6.379;8.727
36.078;43.75;9;8.317;6.514;8.885
35.732;43.75;8.4;8.542;6.655;9.1
35.932;43.75;9.1;8.793;6.78;9.349
35.722;43.75;9.7;9.017;6.876;9.567
35.813;43.75;8.7;9.23;6.954;9.763
35.745;43.75;9.1;9.44;7.011;9.963
35.664;43.75;9.2;9.693;7.045;10.193
35.547;43.75;9.4;9.962;7.066;10.443
34.732;43.75;9.4;10.219;7.09;10.679
34.61;43.75;10.7;;7.132;10.877
33.189;43.75;11.9;9.836;7.175;10.16
29.409;42.5;10.4;10.019;7.376;10.389
26.253;42.5;11;10.179;7.507;10.587
25.393;41.25;11.4;10.344;7.628;10.782
25.809;40;11.8;10.476;7.755;10.934
25.884;38.75;13.6;10.561;7.858;11.047
26.558;38.75;11.5;10.618;7.918;11.134
26.204;38.75;12.1;10.703;7.933;11.243
26.606;38.75;13.3;10.844;7.914;11.399
29.201;37.5;14.4;11.027;7.879;11.625
33.05;37.5;12.9;11.175;7.869;11.83
34.18;37.5;13.1;11.221;7.898;11.957
34.763;37.5;12.3;11.136;7.965;11.962
33.554;37.5;12.3;10.944;8.032;11.863
32.667;37.5;13.3;10.725;8.09;11.715
34.593;37.5;13.2;10.484;8.124;11.537
33.89;37.5;13;10.206;8.134;11.305
30.846;37.5;11.1;9.926;8.139;11.046
30.262;37.5;10.3;9.688;8.124;10.789
29.685;36;10.8;9.481;8.085;10.56
28.63;37.5;10.1;9.373;8.063;10.44
27.896;37.5;10.3;9.35;8.056;10.412
28.293;37.5;9.7;9.366;8.061;10.436
29.431;37.5;8.9;9.405;8.091;10.49
